datetime,conditions
2019-02-01,"Snow, Partially cloudy"
2019-02-02,Partially cloudy
2019-02-03,Overcast
2019-02-04,"Rain, Overcast"
2019-02-05,"Snow, Overcast"
2019-02-06,"Rain, Overcast"
2019-02-07,"Rain, Overcast"
2019-02-08,Partially cloudy
2019-02-09,Partially cloudy
2019-02-10,"Snow, Partially cloudy"
2019-02-11,"Snow, Overcast"
2019-02-12,"Snow, Overcast"
2019-02-13,"Snow, Partially cloudy"
2019-02-14,Partially cloudy
2019-02-15,Partially cloudy
2019-02-16,Overcast
2019-02-17,"Snow, Partially cloudy"
2019-02-18,"Snow, Partially cloudy"
2019-02-19,Partially cloudy
2019-02-20,"Rain, Overcast"
2019-02-21,Partially cloudy
2019-02-22,Partially cloudy
2019-02-23,"Rain, Overcast"
2019-02-24,"Snow, Partially cloudy"
2019-02-25,Partially cloudy
2019-02-26,Partially cloudy
2019-02-27,"Snow, Partially cloudy"
2019-02-28,Partially cloudy
2019-03-01,Partially cloudy
2019-03-02,Partially cloudy
2019-03-03,Partially cloudy
2019-03-04,Partially cloudy
2019-03-05,Partially cloudy
2019-03-06,Partially cloudy
2019-03-07,Partially cloudy
2019-03-08,Partially cloudy
2019-03-09,"Rain, Partially cloudy"
2019-03-10,Partially cloudy
2019-03-11,Partially cloudy
2019-03-12,Partially cloudy
2019-03-13,"Rain, Partially cloudy"
2019-03-14,"Rain, Partially cloudy"
2019-03-15,"Rain, Partially cloudy"
2019-03-16,Partially cloudy
2019-03-17,Partially cloudy
2019-03-18,Partially cloudy
2019-03-19,Partially cloudy
2019-03-20,"Rain, Partially cloudy"
2019-03-21,Partially cloudy
2019-03-22,Clear
2019-03-23,Partially cloudy
2019-03-24,"Rain, Partially cloudy"
2019-03-25,Partially cloudy
2019-03-26,Partially cloudy
2019-03-27,"Rain, Partially cloudy"
2019-03-28,"Rain, Partially cloudy"
2019-03-29,"Rain, Partially cloudy"
2019-03-30,"Rain, Partially cloudy"
2019-03-31,Partially cloudy
2019-04-01,Partially cloudy
2019-04-02,Partially cloudy
2019-04-03,Partially cloudy
2019-04-04,"Rain, Partially cloudy"
2019-04-05,"Rain, Overcast"
2019-04-06,Partially cloudy
2019-04-07,"Rain, Partially cloudy"
2019-04-08,Partially cloudy
2019-04-09,Partially cloudy
2019-04-10,"Rain, Partially cloudy"
2019-04-11,"Rain, Partially cloudy"
2019-04-12,"Rain, Partially cloudy"
2019-04-13,Partially cloudy
2019-04-14,"Rain, Partially cloudy"
2019-04-15,Partially cloudy
2019-04-16,Partially cloudy
2019-04-17,Partially cloudy
2019-04-18,"Rain, Partially cloudy"
2019-04-19,Partially cloudy
2019-04-20,Clear
2019-04-21,Partially cloudy
2019-04-22,"Rain, Partially cloudy"
2019-04-23,Partially cloudy
2019-04-24,Partially cloudy
2019-04-25,"Rain, Partially cloudy"
2019-04-26,"Rain, Partially cloudy"
2019-04-27,"Rain, Partially cloudy"
2019-04-28,Partially cloudy
2019-04-29,"Rain, Partially cloudy"
2019-04-30,"Rain, Overcast"
2019-05-01,"Rain, Partially cloudy"
2019-05-02,"Rain, Overcast"
2019-05-03,"Rain, Partially cloudy"
2019-05-04,Partially cloudy
2019-05-05,Partially cloudy
2019-05-06,"Rain, Partially cloudy"
2019-05-07,"Rain, Overcast"
2019-05-08,"Rain, Partially cloudy"
2019-05-09,"Rain, Partially cloudy"
2019-05-10,Partially cloudy
2019-05-11,"Rain, Partially cloudy"
2019-05-12,"Rain, Partially cloudy"
2019-05-13,Partially cloudy
2019-05-14,Partially cloudy
2019-05-15,Partially cloudy
2019-05-16,"Rain, Partially cloudy"
2019-05-17,"Rain, Partially cloudy"
2019-05-18,"Rain, Partially cloudy"
2019-05-19,"Rain, Partially cloudy"
2019-05-20,Partially cloudy
2019-05-21,"Rain, Partially cloudy"
2019-05-22,"Rain, Partially cloudy"
2019-05-23,"Rain, Partially cloudy"
2019-05-24,"Rain, Partially cloudy"
2019-05-25,"Rain, Partially cloudy"
2019-05-26,"Rain, Partially cloudy"
2019-05-27,"Rain, Partially cloudy"
2019-05-28,"Rain, Partially cloudy"
2019-05-29,"Rain, Partially cloudy"
2019-05-30,"Rain, Partially cloudy"
2019-05-31,Partially cloudy
2019-06-01,"Rain, Partially cloudy"
2019-06-02,Partially cloudy
2019-06-03,Partially cloudy
2019-06-04,"Rain, Partially cloudy"
2019-06-05,"Rain, Partially cloudy"
2019-06-06,Partially cloudy
2019-06-07,Partially cloudy
2019-06-08,Partially cloudy
2019-06-09,"Rain, Partially cloudy"
2019-06-10,Partially cloudy
2019-06-11,Partially cloudy
2019-06-12,"Rain, Partially cloudy"
2019-06-13,"Rain, Partially cloudy"
2019-06-14,"Rain, Partially cloudy"
2019-06-15,"Rain, Partially cloudy"
2019-06-16,"Rain, Overcast"
2019-06-17,Overcast
2019-06-18,Partially cloudy
2019-06-19,"Rain, Partially cloudy"
2019-06-20,"Rain, Partially cloudy"
2019-06-21,Partially cloudy
2019-06-22,Partially cloudy
2019-06-23,"Rain, Partially cloudy"
2019-06-24,"Rain, Partially cloudy"
2019-06-25,"Rain, Partially cloudy"
2019-06-26,"Rain, Partially cloudy"
2019-06-27,"Rain, Partially cloudy"
2019-06-28,"Rain, Partially cloudy"
2019-06-29,Partially cloudy
2019-06-30,"Rain, Partially cloudy"
2019-07-01,Partially cloudy
2019-07-02,"Rain, Partially cloudy"
2019-07-03,"Rain, Partially cloudy"
2019-07-04,Partially cloudy
2019-07-05,"Rain, Partially cloudy"
2019-07-06,"Rain, Partially cloudy"
2019-07-07,Partially cloudy
2019-07-08,Partially cloudy
2019-07-09,Partially cloudy
2019-07-10,"Rain, Partially cloudy"
2019-07-11,Partially cloudy
2019-07-12,Clear
2019-07-13,"Rain, Partially cloudy"
2019-07-14,Partially cloudy
2019-07-15,Partially cloudy
2019-07-16,"Rain, Partially cloudy"
2019-07-17,"Rain, Partially cloudy"
2019-07-18,"Rain, Partially cloudy"
2019-07-19,Partially cloudy
2019-07-20,"Rain, Partially cloudy"
2019-07-21,"Rain, Partially cloudy"
2019-07-22,Partially cloudy
2019-07-23,Partially cloudy
2019-07-24,Clear
2019-07-25,Partially cloudy
2019-07-26,Partially cloudy
2019-07-27,Partially cloudy
2019-07-28,Partially cloudy
2019-07-29,"Rain, Partially cloudy"
2019-07-30,Partially cloudy
2019-07-31,Partially cloudy
