name,datetime,conditions
"Salisbury, MD",2019-12-20,0
"Salisbury, MD",2019-12-21,0
"Salisbury, MD",2019-12-22,0
"Salisbury, MD",2019-12-23,0
"Salisbury, MD",2019-12-24,0
"Salisbury, MD",2019-12-25,0
"Salisbury, MD",2019-12-26,1
"Salisbury, MD",2019-12-27,1
"Salisbury, MD",2019-12-28,1
"Salisbury, MD",2019-12-29,2
"Salisbury, MD",2019-12-30,2
"Salisbury, MD",2019-12-31,1
"Branson, MO",2019-12-14,1
"Branson, MO",2019-12-15,2
"Branson, MO",2019-12-16,3
"Branson, MO",2019-12-17,1
"Branson, MO",2019-12-18,1
"Branson, MO",2019-12-19,0
"Branson, MO",2019-12-20,0
"Branson, MO",2019-12-21,1
"Branson, MO",2019-12-22,0
"Branson, MO",2019-12-23,0
"Branson, MO",2019-12-24,0
"Branson, MO",2019-12-25,0
"Branson, MO",2019-12-26,0
"Branson, MO",2019-12-27,2
"Branson, MO",2019-12-28,2
"Branson, MO",2019-12-29,2
"Branson, MO",2019-12-30,1
"Branson, MO",2019-12-31,0
"Muskegon, MI",2019-12-14,1
"Muskegon, MI",2019-12-15,3
"Muskegon, MI",2019-12-16,3
"Muskegon, MI",2019-12-17,3
"Muskegon, MI",2019-12-18,3
"Muskegon, MI",2019-12-19,1
"Muskegon, MI",2019-12-20,1
"Muskegon, MI",2019-12-21,0
"Muskegon, MI",2019-12-22,0
"Muskegon, MI",2019-12-23,1
"Muskegon, MI",2019-12-24,1
"Muskegon, MI",2019-12-25,1
"Muskegon, MI",2019-12-26,1
"Muskegon, MI",2019-12-27,1
"Muskegon, MI",2019-12-28,2
"Muskegon, MI",2019-12-29,2
"Muskegon, MI",2019-12-30,3
"Muskegon, MI",2019-12-31,3
"Bemidji, MN",2019-12-14,1
"Bemidji, MN",2019-12-15,1
"Bemidji, MN",2019-12-16,1
"Bemidji, MN",2019-12-17,1
"Bemidji, MN",2019-12-18,3
"Bemidji, MN",2019-12-19,1
"Bemidji, MN",2019-12-20,1
"Bemidji, MN",2019-12-21,0
"Bemidji, MN",2019-12-22,0
"Bemidji, MN",2019-12-23,0
"Bemidji, MN",2019-12-24,1
"Bemidji, MN",2019-12-25,3
"Bemidji, MN",2019-12-26,3
"Bemidji, MN",2019-12-27,1
"Bemidji, MN",2019-12-28,3
"Bemidji, MN",2019-12-29,3
"Bemidji, MN",2019-12-30,1
"Bemidji, MN",2019-12-31,1
"Sanford, FL",2019-12-14,2
"Sanford, FL",2019-12-15,0
"Sanford, FL",2019-12-16,0
"Sanford, FL",2019-12-17,2
"Sanford, FL",2019-12-18,2
"Sanford, FL",2019-12-19,1
"Sanford, FL",2019-12-20,1
"Sanford, FL",2019-12-21,2
"Sanford, FL",2019-12-22,2
"Sanford, FL",2019-12-23,2
"Sanford, FL",2019-12-24,2
"Sanford, FL",2019-12-25,1
"Sanford, FL",2019-12-26,1
"Sanford, FL",2019-12-27,2
"Sanford, FL",2019-12-28,2
"Sanford, FL",2019-12-29,2
"Sanford, FL",2019-12-30,2
"Sanford, FL",2019-12-31,0
"Elko, NV",2019-12-14,2
"Elko, NV",2019-12-15,1
"Elko, NV",2019-12-16,0
"Elko, NV",2019-12-17,0
"Elko, NV",2019-12-18,0
"Elko, NV",2019-12-19,1
"Elko, NV",2019-12-20,0
"Elko, NV",2019-12-21,0
"Elko, NV",2019-12-22,0
"Elko, NV",2019-12-23,3
"Elko, NV",2019-12-24,3
"Elko, NV",2019-12-25,1
"Elko, NV",2019-12-26,1
"Elko, NV",2019-12-27,1
"Elko, NV",2019-12-28,1
"Elko, NV",2019-12-29,3
"Elko, NV",2019-12-30,2
"Elko, NV",2019-12-31,1
"Greensboro/High Point, NC",2019-12-14,2
"Greensboro/High Point, NC",2019-12-15,0
"Greensboro/High Point, NC",2019-12-16,1
"Greensboro/High Point, NC",2019-12-17,2
"Greensboro/High Point, NC",2019-12-18,0
"Greensboro/High Point, NC",2019-12-19,0
"Greensboro/High Point, NC",2019-12-20,1
"Greensboro/High Point, NC",2019-12-21,1
"Greensboro/High Point, NC",2019-12-22,2
"Greensboro/High Point, NC",2019-12-23,2
"Greensboro/High Point, NC",2019-12-24,1
"Greensboro/High Point, NC",2019-12-25,1
"Greensboro/High Point, NC",2019-12-26,1
"Greensboro/High Point, NC",2019-12-27,1
"Greensboro/High Point, NC",2019-12-28,1
"Greensboro/High Point, NC",2019-12-29,2
"Greensboro/High Point, NC",2019-12-30,2
"Greensboro/High Point, NC",2019-12-31,0
"Yakutat, AK",2019-12-14,2
"Yakutat, AK",2019-12-15,1
"Yakutat, AK",2019-12-16,2
"Yakutat, AK",2019-12-17,2
"Yakutat, AK",2019-12-18,2
"Yakutat, AK",2019-12-19,2
"Yakutat, AK",2019-12-20,2
"Yakutat, AK",2019-12-21,1
"Yakutat, AK",2019-12-22,3
"Yakutat, AK",2019-12-23,2
"Yakutat, AK",2019-12-24,2
"Yakutat, AK",2019-12-25,2
"Yakutat, AK",2019-12-26,2
"Yakutat, AK",2019-12-27,2
"Yakutat, AK",2019-12-28,2
"Yakutat, AK",2019-12-29,2
"Yakutat, AK",2019-12-30,2
"Yakutat, AK",2019-12-31,2
"Santa Rosa, CA",2019-12-14,2
"Santa Rosa, CA",2019-12-15,2
"Santa Rosa, CA",2019-12-16,0
"Santa Rosa, CA",2019-12-17,1
"Santa Rosa, CA",2019-12-18,2
"Santa Rosa, CA",2019-12-19,2
"Santa Rosa, CA",2019-12-20,1
"Santa Rosa, CA",2019-12-21,1
"Santa Rosa, CA",2019-12-22,2
"Santa Rosa, CA",2019-12-23,1
"Santa Rosa, CA",2019-12-24,1
